,index,length
29,29,"{'ref_length': 20, 'scaffold_length': 12, 'affinity': -10}"
30,30,"{'ref_length': 20, 'scaffold_length': 10, 'affinity': -6.9}"
31,31,"{'ref_length': 18, 'scaffold_length': 11, 'affinity': -6.2}"
32,32,"{'ref_length': 18, 'scaffold_length': 9, 'affinity': -6.7}"
33,33,"{'ref_length': 15, 'scaffold_length': 12, 'affinity': -5.3}"
34,34,"{'ref_length': 12, 'scaffold_length': 9, 'affinity': -5.9}"
35,35,"{'ref_length': 14, 'scaffold_length': 10, 'affinity': -6.4}"
36,36,"{'ref_length': 37, 'scaffold_length': 16, 'affinity': -9.2}"
37,37,"{'ref_length': 31, 'scaffold_length': 11, 'affinity': -6.5}"
38,38,"{'ref_length': 18, 'scaffold_length': 11, 'affinity': -4.1}"
39,39,"{'ref_length': 15, 'scaffold_length': 12, 'affinity': -6.5}"
40,40,"{'ref_length': 13, 'scaffold_length': 9, 'affinity': -5.2}"
41,41,"{'ref_length': 23, 'scaffold_length': 11, 'affinity': -7.8}"
42,42,"{'ref_length': 17, 'scaffold_length': 8, 'affinity': -10}"
43,43,"{'ref_length': 11, 'scaffold_length': 8, 'affinity': -4.8}"
44,44,"{'ref_length': 27, 'scaffold_length': 1, 'affinity': -9.8}"
45,45,"{'ref_length': 17, 'scaffold_length': 13, 'affinity': -7.2}"
46,46,"{'ref_length': 28, 'scaffold_length': 13, 'affinity': -9.0}"
47,47,"{'ref_length': 21, 'scaffold_length': 15, 'affinity': -7.8}"
48,48,"{'ref_length': 57, 'scaffold_length': 12, 'affinity': -6.9}"
49,49,"{'ref_length': 32, 'scaffold_length': 7, 'affinity': -12.3}"
50,50,"{'ref_length': 15, 'scaffold_length': 11, 'affinity': -5.1}"
51,51,"{'ref_length': 32, 'scaffold_length': 12, 'affinity': -8.7}"
52,52,"{'ref_length': 25, 'scaffold_length': 11, 'affinity': -7.8}"
53,53,"{'ref_length': 26, 'scaffold_length': 10, 'affinity': -8.1}"
54,54,"{'ref_length': 26, 'scaffold_length': 10, 'affinity': -8.4}"
55,55,"{'ref_length': 6, 'scaffold_length': 3, 'affinity': -3.0}"
56,56,"{'ref_length': 6, 'scaffold_length': 3, 'affinity': -3.1}"
57,57,"{'ref_length': 26, 'scaffold_length': 10, 'affinity': -7.6}"
58,58,"{'ref_length': 17, 'scaffold_length': 13, 'affinity': -8.3}"
59,59,"{'ref_length': 26, 'scaffold_length': 10, 'affinity': -6.6}"
60,60,"{'ref_length': 29, 'scaffold_length': 13, 'affinity': -5.0}"
61,61,"{'ref_length': 17, 'scaffold_length': 10, 'affinity': -10}"
62,62,"{'ref_length': 13, 'scaffold_length': 11, 'affinity': -6.4}"
63,63,"{'ref_length': 35, 'scaffold_length': 11, 'affinity': -7.1}"
64,64,"{'ref_length': 12, 'scaffold_length': 12, 'affinity': -5.1}"
65,65,"{'ref_length': 8, 'scaffold_length': 4, 'affinity': -4.2}"
66,66,"{'ref_length': 8, 'scaffold_length': 6, 'affinity': -4.9}"
67,67,"{'ref_length': 22, 'scaffold_length': 10, 'affinity': -10}"
68,68,"{'ref_length': 25, 'scaffold_length': 7, 'affinity': -7.8}"
69,69,"{'ref_length': 11, 'scaffold_length': 9, 'affinity': -5.0}"
70,70,"{'ref_length': 31, 'scaffold_length': 9, 'affinity': -13.4}"
71,72,"{'ref_length': 42, 'scaffold_length': 12, 'affinity': -15.8}"
72,73,"{'ref_length': 33, 'scaffold_length': 11, 'affinity': -12.8}"
73,74,"{'ref_length': 23, 'scaffold_length': 10, 'affinity': -8.0}"
74,75,"{'ref_length': 19, 'scaffold_length': 9, 'affinity': -8.4}"
75,76,"{'ref_length': 33, 'scaffold_length': 8, 'affinity': -9.5}"
76,77,"{'ref_length': 9, 'scaffold_length': 8, 'affinity': -4.3}"
77,78,"{'ref_length': 26, 'scaffold_length': 14, 'affinity': -4.7}"
78,79,"{'ref_length': 21, 'scaffold_length': 10, 'affinity': -7.4}"
79,80,"{'ref_length': 42, 'scaffold_length': 12, 'affinity': -14.7}"
80,81,"{'ref_length': 45, 'scaffold_length': 13, 'affinity': -8.9}"
81,82,"{'ref_length': 27, 'scaffold_length': 9, 'affinity': -7.5}"
82,83,"{'ref_length': 38, 'scaffold_length': 8, 'affinity': -8.4}"
83,84,"{'ref_length': 25, 'scaffold_length': 9, 'affinity': -8.2}"
84,85,"{'ref_length': 27, 'scaffold_length': 11, 'affinity': -8.6}"
85,86,"{'ref_length': 20, 'scaffold_length': 12, 'affinity': -7.2}"
86,87,"{'ref_length': 16, 'scaffold_length': 12, 'affinity': -6.8}"
87,88,"{'ref_length': 21, 'scaffold_length': 12, 'affinity': -8.2}"
88,89,"{'ref_length': 9, 'scaffold_length': 5, 'affinity': -4.2}"
89,90,"{'ref_length': 6, 'scaffold_length': 6, 'affinity': -2.9}"
90,91,"{'ref_length': 14, 'scaffold_length': 13, 'affinity': -6.0}"
91,92,"{'ref_length': 50, 'scaffold_length': 16, 'affinity': -9.3}"
92,93,"{'ref_length': 32, 'scaffold_length': 12, 'affinity': -9.4}"
93,94,"{'ref_length': 21, 'scaffold_length': 11, 'affinity': -6.6}"
94,95,"{'ref_length': 15, 'scaffold_length': 6, 'affinity': -6.0}"
95,96,"{'ref_length': 6, 'scaffold_length': 4, 'affinity': -3.3}"
96,97,"{'ref_length': 21, 'scaffold_length': 16, 'affinity': -8.6}"
97,98,"{'ref_length': 26, 'scaffold_length': 12, 'affinity': -9.8}"
98,99,"{'ref_length': 13, 'scaffold_length': 11, 'affinity': -5.5}"
